No,Keyword,Search Volume,CPC,Paid Difficulty,SEO Difficulty
1,crypto converter,1000,7.34,9,52
2,crypto portfolio calculator,30,0,33,57
3,crypto roi calculator,50,0,1,51
4,crypto tax calculator,2900,11.68,60,52
5,currency converter,673000,0.32,1,91
6,daily interest calculator,5400,5.3,3,56
7,daily savings calculator,50,5.44,22,42
8,debt avalanche calculator,1000,3.26,13,39
9,debt consolidation calculator,2900,21.49,49,41
10,debt to income calculator,27100,1.53,19,37
11,disability insurance calculator,720,8.31,11,37
12,discount calculator,40500,8.04,1,44
13,discretionary income calculator,1600,1.39,3,50
14,dividend calculator,33100,3.31,2,42
15,dividend tax calculator,390,3.15,3,43
16,down payment calculator,9900,1.99,39,57
17,down payment savings calculator,50,2.93,5,53
18,education loan calculator,40500,5.6,19,78
19,emergency fund calculator,6600,0.71,6,48
20,epf calculator,170,0,1,54
21,estate tax calculator,880,5.73,3,42
22,exchange rate calculator,6600,0.69,4,71
23,expense tracker,5400,17.36,98,76
24,extra payment calculator,2400,1.69,6,53
25,fd calculator,2900,4.94,5,49
26,forex margin calculator,390,3.21,3,55
27,fuel cost calculator,33100,5.16,1,83
28,future cost calculator,50,5.17,7,39
29,future value calculator,40500,2.3,6,70
30,gross to net calculator,2400,5.31,4,56
31,gst calculator,720,0,1,41
32,health insurance calculator,1900,5.31,42,55
33,heloc calculator,60500,7.675,68,57
34,high yield savings calculator,8100,4.99,49,46
35,home affordability calculator,60500,1.865,32,67
36,home insurance calculator,8100,18.52,41,47
37,home loan emi calculator,2400,3.28,35,75
38,hourly to salary calculator,49500,0.45,1,59
39,impermanent loss calculator,140,18.15,8,36
40,income tax calculator,90500,2.77,12,74
