No,Keyword,Search Volume,CPC,Paid Difficulty,SEO Difficulty
1,present value calculator,12100,3.27,2,36
2,pro rata salary calculator,170,7.44,1,22
3,profit margin calculator,22200,5.19,10,37
4,profit margin tax calculator,0,0,1,4
5,property tax calculator,12100,7.06,1,46
6,property tax estimator,2900,2.13,5,59
7,purchasing power calculator,3600,5.43,14,35
8,rd calculator,1000,7.91,3,40
9,real interest rate calculator,320,0,1,51
10,real vs nominal calculator,0,0,1,4
11,rent affordability calculator,60500,0.37,1,32
12,rent increase calculator,1000,2.27,4,24
13,rent split calculator,3600,3.26,1,31
14,rent vs buy calculator,18100,1.38,11,66
15,retirement calculator,301000,3.37,33,63
16,retirement corpus calculator,70,2.61,37,61
17,retirement savings calculator,18100,3.38,21,65
18,retirement withdrawal calculator,8100,1.74,25,47
19,reverse mortgage calculator,14800,33.22,60,23
20,risk reward calculator,320,2.91,6,19
21,rmd calculator,90500,0.62,24,47
22,roi calculator,22200,3.77,13,64
23,roth ira calculator,135000,3.36,19,44
24,rule of 72 calculator,3600,2.96,9,51
25,salary calculator,246000,2.31,1,83
26,salary increment calculator,33100,9.79,1,22
27,salary inflation calculator,3600,1,5,32
28,salary to hourly calculator,49500,0.88,1,59
29,sales revenue calculator,30,0,5,42
30,sales tax calculator,110000,4.63,1,67
31,savings calculator,60500,3.96,10,76
32,savings goal calculator,2900,4.81,7,46
33,savings rate calculator,1300,8.95,16,53
34,scholarship savings calculator,0,0,1,12
35,second mortgage calculator,4400,9.13,62,46
36,self employment tax calculator,12100,4.07,45,33
37,severance pay calculator,8100,0.21,2,22
38,simple interest calculator,40500,3.18,2,64
39,sinking fund calculator,170,2.65,5,23
40,sip calculator,12100,4.21,6,59
41,social security calculator,49500,0.4,5,68
42,split bill calculator,1600,1.94,2,21
43,staking calculator,590,4.55,1,44
44,stamp duty calculator,1000,0.1,1,57
45,stock average calculator,6600,3.63,1,42
46,stock profit calculator,6600,2.41,4,26
47,stock return calculator,2900,3.48,6,62
48,stp calculator,90,0,1,17
49,student budget calculator,50,0,2,27
50,student loan calculator,40500,5.6,19,78
51,student loan payoff calculator,5400,6.84,1,55
52,student loan refinance calculator,2400,32.16,44,55
53,subscription cost calculator,20,0,7,16
54,swp calculator,3600,4.4,6,33
55,take home pay calculator,60500,6.4,2,80
56,tax bracket calculator,9900,2.84,21,60
57,tax deduction calculator,3600,6.25,21,70
58,tax refund calculator,74000,2.22,34,73
59,term insurance calculator,390,14.86,56,42
60,term vs whole life calculator,30,15.56,74,44
61,time value of money calculator,12100,2.48,7,32
62,tip calculator,368000,0.89,1,62
63,traditional ira calculator,1900,2.29,17,45
64,travel insurance calculator,70,6.11,32,76
65,tuition inflation calculator,10,0,2,14
66,two card payoff calculator,0,0,1,4
67,vacation savings calculator,110,3.08,3,24
68,vat calculator,1600,2.57,1,39
69,wedding budget calculator,1900,3.26,23,37
70,whole life insurance calculator,3600,11.46,61,34
71,withholding tax calculator,12100,2.58,6,18
72,working capital calculator,210,49.63,9,37
73,xirr calculator,260,3.33,3,12
74,zero based budget calculator,40,1.77,16,53
