No,Keyword,Search Volume,CPC,Paid Difficulty,SEO Difficulty
1,pro rata salary calculator,170,7.44,1,22
2,profit margin tax calculator,0,0,1,4
3,purchasing power calculator,3600,5.43,14,35
4,real vs nominal calculator,0,0,1,4
5,rent affordability calculator,60500,0.37,1,32
6,rent increase calculator,1000,2.27,4,24
7,rent split calculator,3600,3.26,1,31
8,reverse mortgage calculator,14800,33.22,60,23
9,risk reward calculator,320,2.91,6,19
10,salary increment calculator,33100,9.79,1,22
11,salary inflation calculator,3600,1,5,32
12,scholarship savings calculator,0,0,1,12
13,self employment tax calculator,12100,4.07,45,33
14,severance pay calculator,8100,0.21,2,22
15,sinking fund calculator,170,2.65,5,23
16,split bill calculator,1600,1.94,2,21
17,stock profit calculator,6600,2.41,4,26
18,stp calculator,90,0,1,17
19,student budget calculator,50,0,2,27
20,subscription cost calculator,20,0,7,16
21,swp calculator,3600,4.4,6,33
22,time value of money calculator,12100,2.48,7,32
23,tuition inflation calculator,10,0,2,14
24,two card payoff calculator,0,0,1,4
25,vacation savings calculator,110,3.08,3,24
26,whole life insurance calculator,3600,11.46,61,34
27,withholding tax calculator,12100,2.58,6,18
28,xirr calculator,260,3.33,3,12
